name,system,lines,colour,kommun,lat,lon
Stuvsta,Pendeltåg,40/41,pendel,Huddinge,59.254208,17.996865
Styrmansgatan,Tram,7,city,Stockholm,59.331444,18.084029
Sundbybergs centrum,Tunnelbana + Pendeltåg + Tram,10/43/30,blue/pendel/orange,Sundbyberg,59.360672,17.97245
Svedmyra,Tunnelbana,19,green,Stockholm,59.277491,18.067128
Sätra,Tunnelbana,13,red,Stockholm,59.28576,17.921669
Södertälje centrum,Pendeltåg,40/41/48,pendel,Södertälje,59.191945,17.627475
Södertälje hamn,Pendeltåg,40/41/48,pendel,Södertälje,59.178684,17.646873
Södertälje syd,Pendeltåg,48,pendel,Södertälje,59.163516,17.645541
T-Centralen,Tunnelbana + Pendeltåg + Tram,10/11/13/14/17/18/19/40/41/43/7,blue/red/green/pendel/city,Stockholm,59.331894,18.060944
Tallkrogen,Tunnelbana,18,green,Stockholm,59.271529,18.086059
Tattby,Saltsjöbanan,26,saltsjo,Nacka,59.279638,18.280366
Tekniska högskolan,Tunnelbana + Roslagsbanan,14/27/28/29,red/roslag,Stockholm,59.345793,18.070863
Telefonplan,Tunnelbana,14,red,Stockholm,59.298361,17.9982
Tensta,Tunnelbana,10,blue,Stockholm,59.394767,17.899695
Thorildsplan,Tunnelbana,17/18/19,green,Stockholm,59.331447,18.014319
Tibble,Roslagsbanan,27,roslag,Täby,59.442409,18.062693
Tippen,Saltsjöbanan,26,saltsjo,Nacka,59.284187,18.277324
Torsvik/Millesgården,Tram,21,orange,Lidingö,59.361947,18.117748
Trekanten,Tram,30,orange,Stockholm,59.314271,18.017902
Trångsund,Pendeltåg,43,pendel,Huddinge,59.227749,18.130831
Tullinge,Pendeltåg,40/41,pendel,Botkyrka,59.205513,17.904575
Tumba,Pendeltåg,40/41,pendel,Botkyrka,59.199478,17.836519
Tunagård,Roslagsbanan,28,roslag,Österåker,59.468975,18.307309
Tungelsta,Pendeltåg,43,pendel,Haninge,59.102658,18.045592
Täby Centrum,Roslagsbanan,28,roslag,Täby,59.444277,18.074674
Täby Kyrkby,Roslagsbanan,27,roslag,Täby,59.492962,18.066215
Täljö,Roslagsbanan,28,roslag,Österåker,59.473363,18.235597
Ulriksdal,Pendeltåg,40/41,pendel,Solna,59.380285,18.000928
Universitetet,Tunnelbana + Roslagsbanan,14/27/28/29,red/roslag,Stockholm,59.365202,18.054597
Upplands Väsby,Pendeltåg,40/41,pendel,Upplands Väsby,59.520854,17.899374
Uppsala C,Pendeltåg,40,pendel,Uppsala,59.85742,17.649023
Valla torg,Tram,30,orange,Stockholm,59.295066,18.048493
Vallentuna,Roslagsbanan,27,roslag,Vallentuna,59.534432,18.08016
Vega,Pendeltåg,43,pendel,Haninge,59.186662,18.135897
Vendevägen,Roslagsbanan,29,roslag,Danderyd,59.399766,18.06759
Viggbyholm,Roslagsbanan,28,roslag,Täby,59.449406,18.104362
Visinge,Roslagsbanan,27,roslag,Täby,59.46269,18.063112
Vällingby,Tunnelbana,17/18/19,green,Stockholm,59.363934,17.870843
Västerhaninge,Pendeltåg,43,pendel,Haninge,59.123111,18.103278
Västertorp,Tunnelbana,14,red,Stockholm,59.291315,17.966692
Västra skogen,Tunnelbana,10/11,blue,Solna,59.347353,18.003871
Vårberg,Tunnelbana,13,red,Stockholm,59.27601,17.89065
Vårby gård,Tunnelbana,13,red,Huddinge,59.26508,17.883664
Waldemarsudde,Tram,7,city,Stockholm,59.322646,18.11126
Zinkensdamm,Tunnelbana,13/14,red,Stockholm,59.317831,18.049188
Älvsjö,Pendeltåg,40/41/43,pendel,Stockholm,59.278303,18.010607
Ängbyplan,Tunnelbana,17/18/19,green,Stockholm,59.341889,17.907413
Åkers Runö,Roslagsbanan,28,roslag,Österåker,59.480636,18.270644
Åkersberga,Roslagsbanan,28,roslag,Österåker,59.479172,18.29864
Åkeshov,Tunnelbana,17/18/19,green,Stockholm,59.342139,17.924219
Ålstens gård,Tram,12,nockeby,Stockholm,59.320685,17.952145
Ålstensgatan,Tram,12,nockeby,Stockholm,59.323449,17.956804
Årstaberg,Pendeltåg + Tram,40/41/43/30,pendel/orange,Stockholm,59.299254,18.029713
Årstadal,Tram,30,orange,Stockholm,59.305878,18.025612
Årstafältet,Tram,30,orange,Stockholm,59.296363,18.039524
Örnsberg,Tunnelbana,13,red,Stockholm,59.305336,17.987701
Ösmo,Pendeltåg,43,pendel,Nynäshamn,58.983998,17.902596
Östberga,Roslagsbanan,29,roslag,Danderyd,59.403989,18.073893
Östermalmstorg,Tunnelbana,13/14,red,Stockholm,59.335478,18.077689
Österskär,Roslagsbanan,28,roslag,Österåker,59.461213,18.311069
Östertälje,Pendeltåg,40/41,pendel,Södertälje,59.18515,17.658091
Östervik,Saltsjöbanan,25,saltsjo,Nacka,59.294993,18.235492
